Property,Descriptions,中文名称,新描述
@type,"When sub-classing, this defines the sub-class Extensible name",@类型,用于指明一个对象的具体类型，尤其是在一个通用模型下有多种具体实现时（例如，一个“联系方式”的具体类型可以是“邮件”或“电话”）。
@schemaLocation,A URI to a JSON-Schema file that defines additional attributes and relationships,@结构位置,一个URL链接，指向一个定义该对象（由@type指定）额外属性的结构文件（JSON Schema）。
@baseType,"When sub-classing, this defines the super-class",@基类型,当一个对象是某个通用模型的具体实现时，此属性指明其通用的父类型或基类型。
id,unique identifier,唯一标识符,系统中每个资源的唯一、不可变的标识符（ID）。
name,Name of the referred entity.,名称,所引用或描述的实体的名称，例如产品名称、客户姓名。
href,Hyperlink reference,超链接引用,指向该资源的完整URL链接，用于直接访问。
@referredType,The actual type of the target instance when needed for disambiguation.,@被引用类型,当引用可能指向多种不同类型的对象时，此属性明确指出被引用对象的实际类型，以消除歧义。
description,A narrative text describing the content of the attachment,描述,一段描述性的文字，用于说明该实体（如附件、产品）的内容或用途。
validFor,Collection of validity information,有效期,定义一个对象（如价格、合同）有效的时间范围，包含开始时间和结束时间。
relatedParty,List of parties involved in this catalog,关联参与方,与当前实体相关的个人或组织的列表，例如订单的联系人、账户的所有者。
valueType,"A kind of value that the characteristic value can take on, such as numeric, text and so forth",值类型,定义特征（Characteristic）的值可以采用的数据类型，例如“文本”、“数字”等。
value,"A characteristic which value is an array of Boolean(s).; A characteristic which value is an array of Float(s).; A characteristic which value is an array of Integer(s).; A characteristic which value is an array of Number(s).; A signed floating point number, the meaning of the sign is according to the context of the API that uses this Data type; Collection of characteristic values; Collection of string characteristics; Text to describe the termination error - for example: Unable to proceed to qualification because incomplete information provided; The value of the header item, e.g. en-us; The value of the resource in the ISO 3166-1 Alpha 2 standard; The value of the resource in the corresponding standard.e.g., a country code value; The value of variable; The value to be used within the operations.; Value of the characteristic; Value used to identifiy this resource as a MSISDN or a VoIP number.; an array of field names; the value of the logical resource. E.g '0746712345' for  MSISDN's",值,属性或特征的具体数值。其数据类型（如文本、数字、布尔值、数组等）由上下文决定。
characteristicRelationship,Collection of characteristic relationships,特征关系,描述不同特征（Characteristic）之间的关系，例如一个特征依赖于另一个。
priority,A priority.,优先级,表示一个对象（如订单、故障单）的优先处理级别。
title,The title of the event.,标题,事件的标题。
eventTime,Time of the event occurrence.,事件时间,事件发生的具体时间点。
domain,The domain of the event.,领域,事件所属的业务领域，例如“订单管理”、“客户管理”。
eventType,The type of the notification.,事件类型,通知的具体类型，例如“产品创建事件”、“状态变更事件”。
eventId,The identifier of the notification.,事件ID,通知的唯一标识符。
event,The event linked to the involved resource object,事件内容,与通知相关的具体事件数据。
correlationId,The correlation id for this event.,关联ID,用于将多个相关事件或操作串联起来的标识符，方便跟踪和调试。
role,The association role for the source product offering price,角色,在一个关系中，实体所扮演的角色。例如，在一个客户和账户的关系中，客户的角色是“所有者”。
