Schema,Descriptions,中文名称,新描述
Addressable,Base schema for adressable entities,可寻址实体,这是一个基础模型，用于定义那些拥有唯一地址（比如URL）并能被直接访问的资源。
EntityRef,,实体引用,用来引用另一个独立实体（比如客户、产品）的摘要信息，通常只包含ID和链接（href），以避免数据重复。
Characteristic,,特征 / 属性,描述一个对象（如产品、服务）的具体属性，以“名称-值”对（name-value pair）的形式存在，例如“颜色-红色”。
CharacteristicRelationship,,特征关系,定义不同特征（Characteristic）之间的关系，例如一个特征依赖于另一个特征。
Entity,Base entity schema for use in TMForum Open-APIs. Property.,实体,所有TMForum API资源模型的基础，提供了像id和href这样的通用属性。
Hub,Sets the communication endpoint address the service instance must use to deliver notification information,事件订阅回调端点,用于设置一个接收通知的回调地址（URL）。当某个事件发生时，系统会向这个地址发送通知。
Error,"Used when an API throws an Error, typically with a HTTP error response-code (3xx, 4xx, 5xx)",错误信息,当API调用出错时，返回的标准错误信息结构，包含错误代码、原因等详细信息。
Extensible,Base Extensible schema for use in TMForum Open-APIs - When used for in a schema it means that the Entity described by the schema  MUST be extended with the @type,可扩展实体,一个基础模型，允许在运行时通过@type字段动态指定其具体类型，从而实现多态和灵活扩展。
Event,,事件,描述系统中发生的某个具体事件的详细信息，例如“客户创建成功”事件。
BaseEvent,,基础事件,所有具体事件模型的通用基础，定义了事件ID、事件时间等公共属性。
PartyRef,A Party reference,参与方引用,用于简要引用一个参与方（个人或组织）的信息，通常只包含ID和链接。
PartyRoleRef,,参与方角色引用,用于简要引用一个参与方所扮演的角色（如客户、供应商），通常只包含ID和链接。
PartyRefOrPartyRoleRef,,参与方或角色引用,一个灵活的模型，既可以用来引用一个参与方（Party），也可以引用一个参与方角色（PartyRole）。
RelatedPartyRefOrPartyRoleRef,,关联参与方或角色引用,用于引用与当前实体相关的某个参与方或其角色，并能定义他们之间的关系类型（例如“联系人”）。
TimePeriod,"A period of time, either as a deadline (endDateTime only) a startDateTime only, or both",时间段,定义一个时间段，可以只有开始时间、只有结束时间，或两者都有。
JsonPatch,A JSONPatch document as defined by RFC 692,JSON补丁,遵循RFC 6902标准的一种格式，用于描述如何对一个JSON文档进行局部修改（如增加、替换、删除字段）。
JsonPatchOperations,JSONPatch Operations document as defined by RFC 692,JSON补丁操作,描述一个具体的JSON补丁操作，如add（添加）， remove（移除）， replace（替换），以及操作路径和值。
AttachmentRef,,附件引用,用于简要引用一个附件（如文档、图片）的信息，通常包含ID和链接。
Quantity,An amount in a given unit,数量,表示一个带有单位的数量，例如“10 GB”或“5 次”。
Attachment,,附件,描述一个附件的完整信息，如文件类型、大小、URL链接等。
AttachmentRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Attachment entity and not the AttachmentRefOrValue class itself",附件引用或值,一个灵活的模型，既可以包含一个完整的附件信息（值），也可以只包含对一个已存在附件的引用。
ExternalIdentifier,,外部标识符,用于记录实体在其他外部系统中的ID或标识。
StringCharacteristic,,字符串特征,Characteristic的具体实现，其值必须是字符串。
NumberCharacteristic,,数字特征,Characteristic的具体实现，其值必须是数字。
IntegerCharacteristic,,整数特征,Characteristic的具体实现，其值必须是整数。
NumberArrayCharacteristic,,数字数组特征,Characteristic的具体实现，其值必须是数字数组。
BooleanArrayCharacteristic,,布尔数组特征,Characteristic的具体实现，其值必须是布尔值数组。
BooleanCharacteristic,,布尔特征,Characteristic的具体实现，其值必须是布尔值（true/false）。
StringArrayCharacteristic,,字符串数组特征,Characteristic的具体实现，其值必须是字符串数组。
IntegerArrayCharacteristic,,整数数组特征,Characteristic的具体实现，其值必须是整数数组。
ObjectArrayCharacteristic,,对象数组特征,Characteristic的具体实现，其值必须是对象数组。
ObjectCharacteristic,,对象特征,Characteristic的具体实现，其值是一个复杂的对象。
ContactMedium,,联系方式,描述一种联系方式的通用模型，如电话号码、电子邮箱、邮寄地址等。
Note,,备注,用于给实体添加文本备注信息，通常包含作者和创建时间。
FloatCharacteristic,,浮点数特征,Characteristic的具体实现，其值必须是浮点数。
PolicyRef,,策略引用,用于简要引用一个策略规则（如折扣策略、安全策略）。
PlaceRef,Place reference.,地点引用,用于简要引用一个地点（如地理位置、地址）。
CharacteristicValueSpecification,,特征值规约,定义一个特征（Characteristic）可以接受的值的规则，例如值的范围、单位或是否为默认值。
CharacteristicSpecification,,特征规约,定义一个特征的模板，描述其名称、数据类型、允许值等元数据，用于创建具体的特征实例。
CharacteristicSpecificationRelationship,,特征规约关系,定义不同特征规约（模板）之间的关系，例如一个特征规约依赖另一个。
ResourceRef,"Resource reference, for when Resource is used by other entities.",资源引用,用于简要引用一个物理或非物理资源（如网络设备、端口、软件）。
GeographicSubAddressUnit,,地理子地址单元,地址的更小单元，例如公寓号、楼层、单元号等。
Place,Place reference.,地点,描述一个地点的完整信息，可以是地理地址、地理位置坐标或其他任何形式的地点。
ProductRef,A Product reference,产品引用,用于简要引用一个已售出的具体产品实例。
StandardIdentifier,,标准标识符,一个标准的、全球唯一的标识符，例如ISBN（书籍）、UPC（商品）。
GeographicSiteRelationship,,地理站点关系,定义不同地理站点之间的关系，例如一个站点包含另一个站点。
GeographicLocation,,地理位置,用经纬度等坐标信息来定义一个地理点或地理区域。
HourPeriod,,小时周期,表示一天中的一个时间段，例如“上午9点到下午5点”。
CalendarPeriod,,日历周期,表示日历上的一个时间段，例如“周一至周五”或“每月1号”。
GeographicLocationRef,,地理位置引用,用于简要引用一个地理位置（坐标点或区域）。
GeographicSubAddress,,地理子地址,描述一个完整地址内部的细分部分，例如楼层、公寓、房间号等。
GeographicLocationRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the GeographicLocation entity and not the GeographicLocationRefOrValue class itself",地理位置引用或值,一个灵活的模型，既可以包含一个完整的地理位置信息（值），也可以只包含对一个已存在地理位置的引用。
AgreementRef,"Agreement reference. An agreement represents a contract or arrangement, either written or verbal and sometimes enforceable by law, such as a service level agreement or a customer price agreement. An agreement involves a number of other business entities, such as products, services, and resources and/or their specifications.",协议引用,用于简要引用一份协议或合同，例如服务水平协议（SLA）。
GeographicAddress,,地理地址,描述一个结构化的邮寄地址，包含国家、城市、街道、门牌号等信息。
GeographicSite,,地理站点,描述一个具有物理边界的场地，例如一栋建筑、一个数据中心或一个基站。
PlaceRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Place entity and not the PlaceRefOrValue class itself",地点引用或值,一个灵活的模型，既可以包含一个完整的地点信息（值），也可以只包含对一个已存在地点的引用。
IntentRef,"Intent reference, for when Intent is used by other entities",意图引用,用于简要引用一个业务或技术“意图”（即期望达到的目标状态）。
PaymentMethodRef,PaymentMethod reference. A payment method defines a specific mean of payment (e.g direct debit).,支付方式引用,用于简要引用一种支付方式，例如信用卡、直接借记。
ServiceRef,"Service reference, for when Service is used by other entities.",服务引用,用于简要引用一个客户正在使用的具体服务实例（如宽带服务）。
EntityRelationship,A uni-directionmal relationship from this entity to a target entity instance,实体关系,描述从一个实体到另一个实体的单向关系，并可以定义关系的类型。
ProductOfferingRef,,产品目录引用,用于简要引用一个可供销售的产品规格或套餐（即产品目录中的一项）。
Money,A base / value business entity used to represent money,货币金额,表示一笔钱，包含金额和货币单位（如100.00 USD）。
RelatedPlaceRefOrValue,,关联地点引用或值,用于描述一个与当前实体相关的地点，并可以定义两者间的关系类型。可以包含完整地点信息或引用。
FeatureRelationship,,功能特性关系,定义不同功能特性之间的关系，例如一个功能依赖另一个功能。
